2009-12-31;2009358;823;
2009-12-30;2009357;255;
2009-12-29;2009356;784;
2009-12-28;2009355;442;
2009-12-27;2009354;075;
2009-12-26;2009353;667;
2009-12-25;2009352;622;
2009-12-24;2009351;159;
2009-12-23;2009350;335;
2009-12-22;2009349;307;
2009-12-21;2009348;827;
2009-12-20;2009347;203;
2009-12-19;2009346;151;
2009-12-18;2009345;375;
2009-12-17;2009344;531;
2009-12-16;2009343;837;
2009-12-15;2009342;782;
2009-12-14;2009341;939;
2009-12-13;2009340;680;
2009-12-12;2009339;520;
2009-12-11;2009338;970;
2009-12-10;2009337;986;
2009-12-09;2009336;832;
2009-12-08;2009335;407;
2009-12-07;2009334;480;
2009-12-06;2009333;592;
2009-12-05;2009332;051;
2009-12-04;2009331;945;
2009-12-03;2009330;674;
2009-12-02;2009329;524;
2009-12-01;2009328;417;
2009-11-30;2009327;785;
2009-11-29;2009326;600;
2009-11-28;2009325;455;
2009-11-27;2009324;278;
2009-11-26;2009323;121;
2009-11-25;2009322;226;
2009-11-24;2009321;598;
2009-11-23;2009320;686;
2009-11-22;2009319;531;
2009-11-21;2009318;827;
2009-11-20;2009317;294;
2009-11-19;2009316;489;
2009-11-18;2009315;059;
2009-11-17;2009314;880;
2009-11-16;2009313;931;
2009-11-15;2009312;332;
2009-11-14;2009311;199;
2009-11-13;2009310;477;
2009-11-12;2009309;595;
2009-11-11;2009308;108;
2009-11-10;2009307;394;
2009-11-09;2009306;547;
2009-11-08;2009305;487;
2009-11-07;2009304;526;
2009-11-06;2009303;739;
2009-11-05;2009302;617;
2009-11-04;2009301;224;
2009-11-03;2009300;754;
2009-11-02;2009299;535;
2009-11-01;2009298;566;
2009-10-31;2009297;230;
2009-10-30;2009296;646;
2009-10-29;2009295;800;
2009-10-28;2009294;278;
2009-10-27;2009293;906;
2009-10-26;2009292;966;
2009-10-25;2009291;830;
2009-10-24;2009290;139;
2009-10-23;2009289;739;
2009-10-21;2009287;971;
2009-10-19;2009285;363;
2009-10-17;2009283;562;
2009-10-16;2009282;241;
2009-10-15;2009281;819;
2009-10-14;2009280;404;
2009-10-13;2009279;631;
2009-10-12;2009278;089;
2009-10-11;2009277;176;
2009-10-10;2009276;521;
2009-10-09;2009275;732;
2009-10-08;2009274;072;
2009-10-07;2009273;329;
2009-10-06;2009272;631;
2009-10-05;2009271;698;
2009-10-04;2009270;475;
2009-10-03;2009269;642;
2009-10-02;2009268;073;
2009-10-01;2009267;545;
2009-09-30;2009266;089;
2009-09-29;2009265;779;
2009-09-28;2009264;332;
2009-09-27;2009263;050;
2009-09-26;2009262;521;
2009-09-25;2009261;808;
2009-09-24;2009260;861;
2009-09-23;2009259;544;
2009-09-22;2009258;206;
2009-09-21;2009257;905;
2009-09-20;2009256;877;
2009-09-19;2009255;316;
2009-09-18;2009254;319;
2009-09-17;2009253;098;
2009-09-16;2009252;990;
2009-09-15;2009251;419;
2009-09-14;2009250;362;
2009-09-13;2009249;894;
2009-09-12;2009248;204;
2009-09-11;2009247;159;
2009-09-10;2009246;220;
2009-09-09;2009245;153;
2009-09-08;2009244;647;
2009-09-07;2009243;903;
2009-09-06;2009242;884;
2009-09-05;2009241;982;
2009-09-04;2009240;378;
2009-09-03;2009239;765;
2009-09-02;2009238;362;
2009-09-01;2009237;489;
2009-08-31;2009236;451;
2009-08-30;2009235;708;
2009-08-29;2009234;734;
2009-08-28;2009233;738;
2009-08-27;2009232;548;
2009-08-26;2009231;947;
2009-08-25;2009230;323;
2009-08-24;2009229;913;
2009-08-23;2009228;608;
2009-08-22;2009227;087;
2009-08-21;2009226;468;
